127.0.0.1 - - [07/Nov/2024:17:29:41 +0700] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:29:48 +0700] "GET /text.html HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:29:48 +0700] "GET /css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:29:48 +0700] "GET /images/thymeleaf-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:29:57 +0700] "POST /sendMailText HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:30:47 +0700] "GET /text.html HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:30:55 +0700] "POST /sendMailText HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:31:02 +0700] "POST /sendMailText HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:31:06 +0700] "POST /sendMailText HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:31:22 +0700] "POST /sendMailText HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:31:27 +0700] "POST /sendMailText HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:31:32 +0700] "POST /sendMailText HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:31:35 +0700] "POST /sendMailText HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:31:39 +0700] "POST /sendMailText HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:31:57 +0700] "POST /sendMailText HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:32:18 +0700] "POST /sendMailText HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:32:30 +0700] "POST /sendMailText HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:32:34 +0700] "POST /sendMailText HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:32:59 +0700] "POST /sendMailText HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:32:59 +0700] "GET /css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:33:00 +0700] "GET /images/thymeleaf-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2024:17:33:04 +0700] "POST /sendMailText HTTP/1.1" 200 1250
